Task_cnt	Time(us)		Latency(us)
1148		1122218.02		69.03
1149		1122287.89		69.86
1150		1122357.24		69.34
1151		1122426.16		68.90
1152		1122495.09		68.92
1153		1122564.45		69.35
1154		1122633.79		69.32
1155		1122703.65		69.85
1156		1122773.35		69.69
1157		1122843.16		69.79
1158		1122912.36		69.19
1159		1122981.18		68.80
1160		1123050.17		68.98
1161		1123120.03		69.85
1162		1123189.26		69.22
1163		1123257.57		68.30
1164		1123327.40		69.81
1165		1123396.92		69.51
1166		1123466.22		69.28
1167		1123535.71		69.47
1168		1123605.00		69.28
1169		1123674.55		69.54
1170		1123757.65		83.09
1171		1123827.41		69.74
1172		1123897.22		69.80
1173		1123966.32		69.08
1174		1124035.38		69.05
1175		1124105.18		69.79
1176		1124174.05		68.85
1177		1124242.90		68.84
1178		1124311.37		68.45
1179		1124381.12		69.75
1180		1124450.16		69.02
1181		1124519.53		69.35
1182		1124588.96		69.42
1183		1124657.95		68.97
1184		1124728.21		70.24
1185		1124797.09		68.87
1186		1124866.47		69.36
1187		1124936.25		69.77
1188		1125005.94		69.67
1189		1125075.85		69.90
1190		1125145.61		69.74
1191		1125215.26		69.64
1192		1125284.63		69.36
1193		1125354.06		69.41
1194		1125422.94		68.87
1195		1125492.36		69.41
1196		1125562.15		69.78
1197		1125630.52		68.36
1198		1125700.16		69.62
1199		1125770.49		70.32
1200		1125840.25		69.75
1201		1125907.03		66.77
1202		1125976.56		69.52
1203		1126045.81		69.23
1204		1126115.29		69.46
1205		1126184.64		69.34
1206		1126254.33		69.67
1207		1126323.43		69.09
1208		1126392.78		69.34
1209		1126462.22		69.43
1210		1126531.50		69.27
1211		1126600.95		69.43
1212		1126670.72		69.76
1213		1126740.67		69.93
1214		1126809.51		68.83
1215		1126879.06		69.54
1216		1126949.00		69.92
1217		1127018.72		69.71
1218		1127088.09		69.35
1219		1127157.90		69.80
1220		1127227.31		69.40
1221		1127296.22		68.90
1222		1127365.76		69.52
1223		1127434.97		69.20
1224		1127503.05		68.07
1225		1127572.91		69.85
1226		1127642.62		69.70
1227		1127712.53		69.90
1228		1127778.17		65.62
1229		1127847.63		69.45
1230		1127917.11		69.47
1231		1127987.35		70.23
1232		1128056.23		68.87
1233		1128125.52		69.27
1234		1128194.92		69.39
1235		1128263.78		68.84
1236		1128332.51		68.72
1237		1128401.46		68.93
1238		1128471.18		69.71
1239		1128541.04		69.85
1240		1128610.52		69.46
1241		1128679.97		69.45
1242		1128749.86		69.87
1243		1128818.74		68.86
1244		1128887.72		68.97
1245		1128956.93		69.20
1246		1129025.87		68.92
1247		1129094.32		68.44
1248		1129164.16		69.82
1249		1129233.51		69.35
1250		1129302.88		69.35
1251		1129370.78		67.89
1252		1129440.06		69.26
1253		1129509.93		69.86
1254		1129579.52		69.57
1255		1129648.22		68.68
1256		1129717.58		69.35
1257		1129786.51		68.92
1258		1129855.93		69.41
1259		1129925.79		69.84
1260		1129995.11		69.30
1261		1130064.54		69.42
1262		1130133.68		69.12
1263		1130203.58		69.90
1264		1130272.64		69.04
1265		1130342.03		69.38
1266		1130410.90		68.85
1267		1130480.33		69.41
1268		1130549.23		68.89
1269		1130618.64		69.39
1270		1130687.82		69.17
1271		1130758.05		70.22
1272		1130828.21		70.14
1273		1130898.57		70.35
1274		1130966.67		68.09
1275		1131036.04		69.35
1276		1131104.91		68.86
1277		1131175.25		70.33
1278		1131243.19		67.92
1279		1131312.19		68.99
1280		1131382.35		70.15
1281		1131452.30		69.94
1282		1131521.32		69.00
1283		1131590.71		69.38
1284		1131660.08		69.36
1285		1131742.49		82.40
1286		1131811.84		69.34
1287		1131881.54		69.68
1288		1131951.42		69.86
1289		1132019.39		67.97
1290		1132088.89		69.48
1291		1132158.35		69.45
1292		1132228.18		69.82
1293		1132297.98		69.79
1294		1132367.33		69.34
1295		1132436.17		68.82
1296		1132506.33		70.15
1297		1132576.35		70.00
1298		1132645.34		68.98
1299		1132714.73		69.38
1300		1132784.13		69.39
1301		1132853.41		69.27
1302		1132923.28		69.86
1303		1132992.09		68.79
1304		1133061.47		69.37
1305		1133130.75		69.27
1306		1133200.47		69.71
1307		1133269.57		69.09
1308		1133338.95		69.37
1309		1133408.81		69.85
1310		1133477.64		68.81
1311		1133547.20		69.55
1312		1133615.36		68.15
1313		1133684.86		69.48
1314		1133755.06		70.20
1315		1133825.38		70.30
1316		1133892.93		67.54
1317		1133962.30		69.36
1318		1134031.64		69.33
1319		1134101.23		69.58
1320		1134170.41		69.16
1321		1134239.78		69.36
1322		1134309.23		69.44
1323		1134379.38		70.14
1324		1134449.27		69.87
1325		1134518.77		69.49
1326		1134587.62		68.83
1327		1134656.97		69.34
1328		1134726.37		69.39
1329		1134795.97		69.59
1330		1134865.56		69.57
1331		1134934.94		69.37
1332		1135004.35		69.40
1333		1135074.10		69.74
1334		1135143.96		69.84
1335		1135213.04		69.07
1336		1135282.81		69.76
1337		1135352.21		69.38
1338		1135421.15		68.93
1339		1135489.02		67.86
1340		1135557.99		68.95
1341		1135628.35		70.35
1342		1135698.10		69.74
1343		1135768.89		70.78
1344		1135838.97		70.07
1345		1135905.27		66.28
1346		1135973.02		67.74
1347		1136042.00		68.96
1348		1136112.06		70.05
1349		1136180.90		68.83
1350		1136250.49		69.58
1351		1136320.65		70.15
1352		1136390.30		69.63
1353		1136458.94		68.63
1354		1136528.10		69.15
1355		1136597.91		69.79
1356		1136667.44		69.52
1357		1136736.72		69.27
1358		1136805.95		69.22
1359		1136875.50		69.54
1360		1136945.12		69.60
1361		1137014.80		69.67
1362		1137081.45		66.64
1363		1137150.36		68.89
1364		1137220.41		70.04
1365		1137290.29		69.86
1366		1137357.88		67.58
1367		1137427.29		69.40
1368		1137496.83		69.53
1369		1137566.67		69.82
1370		1137635.39		68.71
1371		1137704.72		69.31
1372		1137774.42		69.69
1373		1137844.34		69.91
1374		1137913.42		69.07
1375		1137982.72		69.29
1376		1138052.56		69.82
1377		1138121.43		68.86
1378		1138190.32		68.87
1379		1138259.20		68.86
1380		1138328.41		69.20
1381		1138397.46		69.03
1382		1138466.76		69.28
1383		1138535.66		68.89
1384		1138605.12		69.44
1385		1138673.93		68.80
1386		1138742.84		68.90
1387		1138812.57		69.72
1388		1138882.83		70.24
1389		1138951.51		68.66
1390		1139021.33		69.81
1391		1139090.78		69.43
1392		1139159.67		68.87
1393		1139228.03		68.35
1394		1139297.84		69.80
1395		1139367.19		69.34
1396		1139436.99		69.79
1397		1139506.85		69.84
1398		1139575.85		68.99
1399		1139645.22		69.35
1400		1139727.73		82.50
1401		1139797.36		69.62
1402		1139866.57		69.19
1403		1139936.72		70.14
1404		1140005.29		68.55
1405		1140075.40		70.10
1406		1140145.08		69.67
1407		1140214.82		69.73
1408		1140282.51		67.67
1409		1140352.10		69.58
1410		1140421.71		69.59
1411		1140490.85		69.13
1412		1140560.86		69.99
1413		1140630.31		69.43
1414		1140699.76		69.44
1415		1140769.89		70.12
1416		1140838.99		69.08
1417		1140908.11		69.11
1418		1140977.78		69.65
1419		1141047.48		69.69
1420		1141116.91		69.42
1421		1141186.58		69.65
1422		1141255.77		69.18
1423		1141325.84		70.06
1424		1141395.16		69.31
1425		1141464.66		69.48
1426		1141534.76		70.09
1427		1141603.37		68.59
1428		1141672.45		69.06
1429		1141742.25		69.79
1430		1141811.75		69.48
1431		1141879.92		68.16
1432		1141949.83		69.90
1433		1142019.11		69.27
1434		1142088.73		69.60
1435		1142156.89		68.15
1436		1142226.55		69.64
1437		1142296.25		69.69
1438		1142365.77		69.51
1439		1142434.89		69.11
1440		1142504.27		69.36
1441		1142574.50		70.22
1442		1142644.76		70.24
1443		1142714.17		69.40
1444		1142783.22		69.04
1445		1142853.31		70.07
1446		1142922.49		69.17
1447		1142991.72		69.22
1448		1143061.60		69.87
1449		1143131.02		69.41
1450		1143200.22		69.18
1451		1143269.33		69.10
1452		1143338.90		69.56
1453		1143408.12		69.21
1454		1143476.24		68.10
1455		1143545.56		69.31
1456		1143615.09		69.52
1457		1143684.62		69.51
1458		1143755.16		70.52
1459		1143824.65		69.48
1460		1143894.33		69.66
1461		1143963.76		69.42
1462		1144033.93		70.15
1463		1144103.43		69.49
1464		1144172.79		69.35
1465		1144241.94		69.14
1466		1144311.62		69.67
1467		1144381.20		69.56
1468		1144449.84		68.62
1469		1144520.76		70.91
1470		1144589.17		68.40
1471		1144658.37		69.19
1472		1144728.25		69.87
1473		1144797.59		69.33
1474		1144867.17		69.56
1475		1144936.84		69.66
1476		1145006.50		69.65
1477		1145076.07		69.56
1478		1145145.68		69.60
1479		1145214.89		69.19
1480		1145284.42		69.52
1481		1145354.02		69.58
1482		1145423.69		69.66
1483		1145493.53		69.82
1484		1145563.36		69.82
1485		1145633.96		70.59
1486		1145703.40		69.42
1487		1145772.91		69.50
1488		1145842.55		69.63
1489		1145912.25		69.69
1490		1145980.89		68.63
1491		1146050.61		69.70
1492		1146120.14		69.52
1493		1146189.19		69.04
1494		1146258.39		69.18
1495		1146328.25		69.85
1496		1146396.00		67.73
1497		1146465.58		69.57
1498		1146534.81		69.22
1499		1146605.02		70.20
1500		1146674.19		69.16
1501		1146743.84		69.64
1502		1146813.92		70.07
1503		1146883.61		69.67
1504		1146953.77		70.15
1505		1147023.41		69.62
1506		1147093.49		70.07
1507		1147162.18		68.67
1508		1147232.27		70.08
1509		1147301.97		69.69
1510		1147371.58		69.60
1511		1147440.71		69.12
1512		1147509.97		69.25
1513		1147578.96		68.98
1514		1147648.09		69.12
1515		1147741.87		93.76
1516		1147811.55		69.67
1517		1147881.78		70.22
1518		1147951.60		69.80
1519		1148020.91		69.30
1520		1148090.43		69.50
1521		1148159.98		69.54
1522		1148230.14		70.14
1523		1148299.75		69.60
1524		1148369.45		69.69
1525		1148439.70		70.24
1526		1148509.83		70.12
1527		1148579.91		70.07
1528		1148649.01		69.08
1529		1148718.64		69.62
1530		1148787.78		69.13
1531		1148857.51		69.71
1532		1148927.37		69.85
1533		1148997.10		69.71
1534		1149063.91		66.80
1535		1149133.66		69.73
1536		1149203.14		69.46
1537		1149272.73		69.58
1538		1149341.26		68.52
1539		1149409.95		68.68
1540		1149479.53		69.57
1541		1149549.62		70.07
1542		1149619.80		70.17
1543		1149689.46		69.64
1544		1149759.08		69.61
1545		1149828.71		69.62
1546		1149897.93		69.20
1547		1149967.54		69.59
1548		1150037.08		69.53
1549		1150107.25		70.16
1550		1150176.83		69.56
1551		1150246.61		69.77
1552		1150316.37		69.75
1553		1150385.12		68.74
1554		1150455.19		70.05
1555		1150524.33		69.12
1556		1150593.89		69.55
1557		1150660.59		66.68
1558		1150730.45		69.85
1559		1150799.95		69.49
1560		1150869.44		69.48
1561		1150937.19		67.73
1562		1151006.92		69.72
1563		1151076.64		69.71
1564		1151146.15		69.50
1565		1151214.43		68.27
1566		1151284.26		69.82
1567		1151353.11		68.84
1568		1151422.69		69.56
1569		1151491.93		69.23
1570		1151561.52		69.58
1571		1151630.81		69.28
1572		1151718.07		87.25
1573		1151787.74		69.66
1574		1151857.54		69.78
1575		1151926.92		69.37
1576		1151997.07		70.14
1577		1152066.22		69.14
1578		1152135.89		69.65
1579		1152205.34		69.44
1580		1152275.49		70.13
1581		1152344.83		69.34
1582		1152414.04		69.20
1583		1152484.13		70.07
1584		1152553.38		69.24
1585		1152622.98		69.59
1586		1152693.07		70.07
1587		1152762.91		69.83
1588		1152832.35		69.43
1589		1152902.02		69.65
1590		1152971.55		69.52
1591		1153041.27		69.70
1592		1153110.96		69.68
1593		1153181.27		70.29
1594		1153251.40		70.11
1595		1153319.64		68.22
1596		1153388.80		69.15
1597		1153458.34		69.52
1598		1153527.57		69.22
1599		1153596.16		68.58
1600		1153665.73		69.55
1601		1153735.36		69.62
1602		1153805.61		70.24
1603		1153873.57		67.94
1604		1153943.12		69.54
1605		1154012.74		69.60
1606		1154082.41		69.66
1607		1154151.88		69.46
1608		1154221.31		69.42
1609		1154290.97		69.64
1610		1154360.13		69.15
1611		1154430.02		69.87
1612		1154500.41		70.38
1613		1154570.01		69.59
1614		1154639.25		69.22
1615		1154708.41		69.15
1616		1154778.52		70.09
1617		1154848.13		69.60
1618		1154917.30		69.15
1619		1154987.51		70.20
1620		1155057.20		69.68
1621		1155126.71		69.49
1622		1155192.97		66.24
1623		1155262.52		69.54
1624		1155332.12		69.59
1625		1155401.05		68.91
1626		1155469.99		68.93
1627		1155539.15		69.15
1628		1155608.86		69.70
1629		1155686.24		77.37
1630		1155756.00		69.75
1631		1155825.69		69.67
1632		1155895.50		69.79
1633		1155963.79		68.28
1634		1156033.70		69.89
1635		1156103.07		69.36
1636		1156172.36		69.28
1637		1156240.74		68.36
1638		1156310.54		69.79
1639		1156379.63		69.07
1640		1156449.06		69.41
1641		1156518.36		69.29
1642		1156587.61		69.23
1643		1156657.19		69.57
1644		1156727.56		70.36
1645		1156797.40		69.82
1646		1156866.72		69.31
1647		1156935.65		68.92
1648		1157005.16		69.50
1649		1157074.39		69.22
1650		1157143.79		69.38
1651		1157213.18		69.38
1652		1157282.58		69.39
1653		1157352.14		69.55
1654		1157421.96		69.80
1655		1157491.12		69.15
1656		1157560.50		69.37
1657		1157629.94		69.43
1658		1157698.82		68.86
1659		1157768.23		69.39
1660		1157836.51		68.27
1661		1157905.97		69.44
1662		1157974.78		68.79
1663		1158044.19		69.40
1664		1158113.50		69.30
1665		1158183.69		70.18
1666		1158253.19		69.48
1667		1158322.98		69.78
1668		1158391.90		68.91
1669		1158460.74		68.82
1670		1158530.25		69.49
1671		1158599.53		69.27
1672		1158668.29		68.75
1673		1158737.92		69.61
1674		1158808.50		70.57
1675		1158878.34		69.83
1676		1158948.14		69.79
1677		1159018.41		70.25
1678		1159088.13		69.71
1679		1159157.99		69.84
1680		1159227.37		69.37
1681		1159296.77		69.39
1682		1159366.11		69.33
1683		1159435.61		69.49
1684		1159504.81		69.19
1685		1159574.21		69.39
1686		1159643.62		69.39
1687		1159717.19		73.55
1688		1159786.73		69.53
1689		1159856.52		69.78
1690		1159926.37		69.83
1691		1159995.74		69.36
1692		1160065.16		69.41
1693		1160134.89		69.72
1694		1160204.35		69.44
1695		1160273.79		69.43
1696		1160343.60		69.79
1697		1160412.52		68.91
1698		1160481.96		69.43
1699		1160550.79		68.82
1700		1160620.27		69.47
1701		1160689.69		69.40
1702		1160759.97		70.27
1703		1160829.94		69.96
1704		1160899.89		69.94
1705		1160969.93		70.02
1706		1161038.06		68.12
1707		1161107.42		69.34
1708		1161176.76		69.33
1709		1161245.66		68.89
1710		1161314.97		69.30
1711		1161384.31		69.33
1712		1161454.05		69.73
1713		1161523.08		69.02
1714		1161592.46		69.36
1715		1161661.92		69.46
1716		1161730.75		68.81
1717		1161800.81		70.05
1718		1161870.60		69.77
1719		1161940.27		69.66
1720		1162009.67		69.39
1721		1162078.67		68.99
1722		1162148.10		69.41
1723		1162217.85		69.74
1724		1162287.31		69.45
1725		1162357.24		69.92
1726		1162426.08		68.83
1727		1162495.57		69.47
1728		1162565.42		69.84
1729		1162633.69		68.25
1730		1162703.56		69.86
1731		1162773.43		69.86
1732		1162843.56		70.12
1733		1162913.42		69.84
1734		1162982.48		69.05
1735		1163052.37		69.88
1736		1163121.78		69.39
1737		1163191.17		69.38
1738		1163260.48		69.30
1739		1163329.41		68.91
1740		1163398.77		69.35
1741		1163468.14		69.36
1742		1163537.78		69.63
1743		1163606.89		69.10
1744		1163689.33		82.42
1745		1163759.02		69.68
1746		1163828.48		69.44
1747		1163897.79		69.30
1748		1163967.10		69.30
1749		1164036.46		69.35
1750		1164105.91		69.44
1751		1164175.19		69.26
1752		1164244.06		68.86
1753		1164313.72		69.64
1754		1164382.91		69.18
1755		1164452.34		69.42
1756		1164521.74		69.39
1757		1164591.85		70.09
1758		1164662.13		70.26
1759		1164732.22		70.09
1760		1164802.10		69.86
1761		1164871.15		69.04
1762		1164940.52		69.36
1763		1165009.92		69.38
1764		1165078.98		69.04
1765		1165148.84		69.85
1766		1165218.14		69.29
1767		1165286.37		68.22
1768		1165356.21		69.82
1769		1165426.06		69.83
1770		1165495.15		69.08
1771		1165562.78		67.61
1772		1165632.74		69.95
1773		1165701.94		69.19
1774		1165771.40		69.45
1775		1165839.26		67.85
1776		1165908.65		69.37
1777		1165978.01		69.35
1778		1166046.97		68.94
1779		1166116.48		69.50
1780		1166185.75		69.25
1781		1166254.60		68.84
1782		1166323.69		69.07
1783		1166392.87		69.17
1784		1166461.69		68.80
1785		1166530.97		69.27
1786		1166600.50		69.52
1787		1166669.67		69.15
1788		1166738.93		69.25
1789		1166808.92		69.98
1790		1166878.64		69.71
1791		1166948.48		69.82
1792		1167018.26		69.76
1793		1167087.94		69.66
1794		1167157.77		69.82
1795		1167227.18		69.39
1796		1167296.54		69.35
1797		1167365.91		69.36
1798		1167433.30		67.37
1799		1167503.04		69.73
1800		1167572.86		69.80
1801		1167642.01		69.14
1802		1167709.18		67.15
1803		1167779.47		70.27
1804		1167848.34		68.86
1805		1167917.75		69.39
1806		1167987.17		69.40
1807		1168057.16		69.98
1808		1168127.11		69.94
1809		1168196.83		69.71
1810		1168266.07		69.23
1811		1168335.98		69.90
1812		1168405.36		69.37
1813		1168475.29		69.91
1814		1168544.70		69.40
1815		1168614.14		69.42
1816		1168683.34		69.19
1817		1168750.96		67.61
1818		1168820.51		69.53
1819		1168889.88		69.37
1820		1168959.28		69.38
1821		1169027.21		67.92
1822		1169096.49		69.26
1823		1169165.88		69.38
1824		1169235.74		69.84
1825		1169304.14		68.39
1826		1169374.03		69.88
1827		1169443.38		69.33
1828		1169512.26		68.87
1829		1169581.97		69.69
1830		1169653.08		71.10
1831		1169722.65		69.56
1832		1169792.22		69.56
1833		1169861.57		69.34
1834		1169930.96		69.38
1835		1170000.53		69.55
1836		1170070.82		70.28
1837		1170140.79		69.96
1838		1170209.86		69.06
1839		1170279.21		69.34
1840		1170348.68		69.46
1841		1170418.04		69.35
1842		1170487.58		69.52
1843		1170557.54		69.95
1844		1170624.95		67.39
1845		1170694.80		69.84
1846		1170765.13		70.32
1847		1170835.03		69.88
1848		1170904.69		69.65
1849		1170974.57		69.87
1850		1171044.40		69.81
1851		1171114.22		69.80
1852		1171183.65		69.42
1853		1171252.97		69.31
1854		1171322.51		69.53
1855		1171392.24		69.72
1856		1171461.59		69.34
1857		1171530.93		69.32
1858		1171600.58		69.63
1859		1171698.32		97.73
1860		1171767.70		69.37
1861		1171836.53		68.82
1862		1171905.88		69.34
1863		1171975.25		69.36
1864		1172045.41		70.14
1865		1172115.24		69.82
1866		1172185.63		70.38
1867		1172255.51		69.87
1868		1172325.05		69.52
1869		1172394.44		69.38
1870		1172463.84		69.39
1871		1172533.77		69.91
1872		1172602.81		69.03
1873		1172672.68		69.85
1874		1172740.96		68.27
1875		1172810.28		69.31
1876		1172880.47		70.17
1877		1172950.78		70.29
1878		1173018.74		67.95
1879		1173088.37		69.61
1880		1173157.97		69.59
1881		1173227.38		69.40
1882		1173295.68		67.10
1883		1173365.07		69.38
1884		1173434.67		69.59
1885		1173504.60		69.92
1886		1173573.72		69.10
1887		1173643.51		69.78
1888		1173712.88		69.35
1889		1173782.19		69.29
1890		1173851.60		69.39
1891		1173921.43		69.83
1892		1173991.22		69.77
1893		1174060.66		69.42
1894		1174129.98		69.31
1895		1174199.51		69.52
1896		1174269.58		70.05
1897		1174338.62		69.03
1898		1174407.96		69.33
1899		1174477.35		69.37
1900		1174546.78		69.42
1901		1174614.67		67.87
1902		1174683.94		69.25
1903		1174753.84		69.89
1904		1174823.65		69.80
1905		1174891.13		67.46
1906		1174960.51		69.37
1907		1175030.09		69.56
1908		1175099.95		69.85
1909		1175168.08		68.11
1910		1175237.59		69.51
1911		1175307.60		69.99
1912		1175377.42		69.81
1913		1175447.00		69.57
1914		1175516.93		69.91
1915		1175586.30		69.36
1916		1175671.52		85.21
1917		1175741.29		69.76
1918		1175810.67		69.37
1919		1175880.81		70.13
1920		1175949.83		69.00
1921		1176019.64		69.79
1922		1176089.01		69.36
1923		1176158.57		69.54
1924		1176228.68		70.10
1925		1176298.59		69.89
1926		1176367.98		69.38
1927		1176437.36		69.36
1928		1176506.86		69.49
1929		1176575.68		68.81
1930		1176645.26		69.57
1931		1176714.86		69.59
1932		1176784.26		69.38
1933		1176853.61		69.34
1934		1176923.44		69.81
1935		1176993.67		70.22
1936		1177063.49		69.80
1937		1177133.49		69.98
1938		1177202.99		69.49
1939		1177271.69		68.69
1940		1177341.26		69.56
1941		1177410.62		69.34
1942		1177480.09		69.46
1943		1177547.83		67.73
1944		1177618.06		70.21
1945		1177687.90		69.83
1946		1177756.95		69.04
1947		1177824.83		67.87
1948		1177894.37		69.52
1949		1177964.29		69.91
1950		1178033.52		69.22
1951		1178102.92		69.39
1952		1178172.27		69.33
1953		1178242.42		70.14
1954		1178312.36		69.92
1955		1178381.45		69.08
1956		1178451.26		69.79
1957		1178520.69		69.42
1958		1178590.10		69.39
1959		1178659.48		69.37
1960		1178728.93		69.44
1961		1178798.71		69.77
1962		1178868.03		69.31
1963		1178937.35		69.31
1964		1179006.97		69.61
1965		1179076.73		69.74
1966		1179144.99		68.24
1967		1179214.34		69.34
1968		1179283.72		69.36
1969		1179353.14		69.41
1970		1179421.92		68.76
1971		1179491.27		69.34
1972		1179561.46		70.18
1973		1179642.46		80.98
1974		1179711.98		69.51
1975		1179781.85		69.85
1976		1179851.21		69.35
1977		1179920.33		69.11
1978		1179990.04		69.70
1979		1180059.68		69.63
1980		1180128.94		69.24
1981		1180196.87		67.92
1982		1180266.71		69.83
1983		1180336.03		69.31
1984		1180405.47		69.43
1985		1180474.90		69.42
1986		1180544.59		69.68
1987		1180614.56		69.95
1988		1180683.96		69.39
1989		1180753.87		69.89
1990		1180823.67		69.79
1991		1180893.04		69.36
1992		1180962.45		69.40
1993		1181031.97		69.51
1994		1181102.20		70.21
1995		1181171.05		68.84
1996		1181240.39		69.33
1997		1181309.85		69.44
1998		1181379.93		70.07
1999		1181449.81		69.86
2000		1181520.15		70.33
2001		1181589.25		69.09
2002		1181658.61		69.35
2003		1181727.97		69.35
2004		1181795.77		67.78
2005		1181865.17		69.38
2006		1181934.40		69.22
2007		1182004.06		69.64
2008		1182072.07		68.00
2009		1182141.50		69.42
2010		1182210.86		69.35
2011		1182280.33		69.45
2012		1182349.65		69.31
2013		1182418.94		69.29
2014		1182488.25		69.30
2015		1182558.49		70.22
2016		1182628.35		69.85
2017		1182697.33		68.96
2018		1182766.74		69.40
2019		1182836.06		69.30
2020		1182905.13		69.05
2021		1182974.99		69.85
2022		1183045.20		70.20
2023		1183114.94		69.72
2024		1183184.30		69.35
2025		1183254.13		69.82
2026		1183323.46		69.32
2027		1183393.21		69.73
2028		1183463.52		70.29
2029		1183533.26		69.73
2030		1183602.95		69.67
2031		1183674.56		71.60
2032		1183744.81		70.23
2033		1183814.74		69.92
2034		1183884.74		69.99
2035		1183955.05		70.29
2036		1184025.37		70.31
2037		1184095.14		69.77
2038		1184162.24		67.08
2039		1184231.65		69.39
2040		1184300.93		69.27
2041		1184370.33		69.39
2042		1184439.71		69.36
2043		1184509.41		69.68
2044		1184578.52		69.10
2045		1184648.33		69.80
2046		1184717.66		69.31
2047		1184787.00		69.34
2048		1184856.33		69.32
2049		1184925.66		69.32
2050		1184993.30		67.62
2051		1185062.35		69.03
2052		1185131.68		69.32
2053		1185201.09		69.40
2054		1185269.60		68.49
2055		1185339.83		70.22
2056		1185409.12		69.27
2057		1185478.53		69.40
2058		1185546.34		67.80
2059		1185616.34		69.98
2060		1185685.66		69.31
2061		1185754.96		69.28
2062		1185824.34		69.38
2063		1185893.95		69.59
2064		1185963.57		69.61
2065		1186032.91		69.33
2066		1186102.27		69.35
2067		1186172.12		69.84
2068		1186241.97		69.84
2069		1186310.92		68.93
2070		1186380.24		69.31
2071		1186449.65		69.40
2072		1186519.47		69.80
2073		1186589.00		69.52
2074		1186658.84		69.83
2075		1186729.21		70.35
2076		1186799.04		69.82
2077		1186867.27		68.21
2078		1186936.94		69.65
2079		1187006.90		69.95
2080		1187076.03		69.12
2081		1187145.38		69.34
2082		1187215.28		69.89
2083		1187285.63		70.34
2084		1187354.94		69.29
2085		1187424.08		69.12
2086		1187494.34		70.25
2087		1187563.12		68.76
2088		1187650.46		87.33
2089		1187720.26		69.79
2090		1187789.52		69.25
2091		1187858.89		69.36
2092		1187927.57		68.67
2093		1187997.08		69.50
2094		1188066.59		69.50
2095		1188136.46		69.85
2096		1188205.75		69.29
2097		1188275.13		69.36
2098		1188344.65		69.51
2099		1188414.45		69.78
2100		1188483.78		69.31
2101		1188553.11		69.32
2102		1188622.83		69.70
2103		1188692.64		69.80
2104		1188761.76		69.11
2105		1188831.61		69.84
2106		1188901.01		69.39
2107		1188970.87		69.84
2108		1189039.71		68.82
2109		1189109.10		69.38
2110		1189178.45		69.34
2111		1189247.19		68.72
2112		1189316.94		69.74
2113		1189386.75		69.80
2114		1189456.31		69.54
2115		1189523.75		67.42
2116		1189593.14		69.39
2117		1189662.41		69.25
2118		1189731.81		69.39
2119		1189801.31		69.48
2120		1189871.29		69.96
2121		1189941.34		70.05
2122		1190010.40		69.04
2123		1190080.33		69.92
2124		1190151.12		70.78
2125		1190220.54		69.40
2126		1190290.40		69.86
2127		1190359.81		69.39
2128		1190429.21		69.39
2129		1190498.82		69.60
2130		1190568.54		69.70
2131		1190637.95		69.40
2132		1190707.33		69.37
2133		1190776.93		69.58
2134		1190846.88		69.94
2135		1190915.88		68.99
2136		1190985.23		69.34
2137		1191054.62		69.37
2138		1191122.50		67.87
2139		1191192.36		69.85
2140		1191261.76		69.38
2141		1191331.74		69.97
2142		1191399.07		67.31
2143		1191468.46		69.38
2144		1191537.34		68.86
2145		1191606.66		69.30
2146		1191675.80		69.13
2147		1191744.97		69.16
2148		1191814.99		70.00
2149		1191884.56		69.56
2150		1191953.88		69.30
2151		1192023.56		69.67
2152		1192093.74		70.16
2153		1192163.27		69.52
2154		1192232.43		69.14
2155		1192302.08		69.64
2156		1192372.35		70.26
2157		1192440.76		68.39
2158		1192510.39		69.62
2159		1192580.01		69.60
2160		1192650.06		70.03
2161		1192716.90		66.83
2162		1192786.50		69.59
2163		1192855.82		69.31
2164		1192925.29		69.45
2165		1192994.40		69.10
2166		1193064.06		69.66
2167		1193133.97		69.89
2168		1193203.71		69.73
2169		1193273.11		69.39
2170		1193342.29		69.17
2171		1193411.49		69.19
2172		1193480.73		69.23
2173		1193550.87		70.13
2174		1193620.14		69.25
2175		1193689.75		69.60
2176		1193759.39		69.63
2177		1193829.49		70.08
2178		1193898.86		69.36
2179		1193968.68		69.80
2180		1194037.92		69.23
2181		1194107.66		69.73
2182		1194177.82		70.15
2183		1194247.41		69.57
2184		1194313.57		66.15
2185		1194382.73		69.15
2186		1194451.36		68.61
2187		1194520.49		69.12
2188		1194589.09		68.58
2189		1194658.85		69.74
2190		1194728.35		69.49
2191		1194797.97		69.60
2192		1194866.64		68.66
2193		1194936.49		69.84
2194		1195005.81		69.31
2195		1195075.48		69.66
2196		1195145.10		69.60
2197		1195214.24		69.12
2198		1195283.52		69.27
2199		1195353.08		69.55
2200		1195422.56		69.47
2201		1195491.67		69.09
2202		1195561.31		69.63
2203		1195654.37		93.05
2204		1195723.91		69.53
2205		1195793.70		69.78
2206		1195863.62		69.91
2207		1195933.06		69.42
2208		1196001.92		68.85
2209		1196071.40		69.47
2210		1196140.15		68.73
2211		1196209.58		69.42
2212		1196279.22		69.63
2213		1196349.52		70.29
2214		1196419.40		69.87
2215		1196489.20		69.79
2216		1196558.28		69.06
2217		1196627.51		69.23
2218		1196695.48		67.96
2219		1196765.31		69.81
2220		1196834.22		68.90
2221		1196903.71		69.47
2222		1196971.09		67.37
